date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan,theta_mean,theta_total_yuan,tangent_count,value_at_s_min,value_at_s_max,dec_storage_end_mean,dec_storage_end_min,dec_storage_end_max,dec_plan_kwh,solver_path
2025-06-02,61634.59474,4888.6701,3959.822781,7965.513892,30.45386709,1200,1200,47666.71789,28237.65367,75904.37157,1200,4765.710494,32,4.882773266,kernel,95718.30297,47348.52022,47366.5907,59,48350.54937,47263.68999,6972.087749,1200,10799.80199,192.9687058,highs+presolve
2025-06-03,69701.54626,3907.292685,3164.907075,863.51721,1630.311027,1200,1200,53986.8554,3009.820614,56996.67601,1200,2790.715645,33,2.436700095,kernel,107594.2732,53124.27585,53606.52851,35,53987.74227,53068.56805,3406.300269,1200,7754.465609,0.2698062055,highs+presolve
2025-06-04,71311.478,2358.681761,1910.532226,592.4680453,1810.535697,1200,1200,56508.65414,1277.605859,57786.26,1200,2260.382774,34,1.028496476,kernel,113018.2733,56494.85462,56493.96244,5,56524.31081,56493.96066,1264.342702,1200,10800,5.002672458,highs+presolve
2025-06-05,71956.86876,4127.989542,3343.671529,439.2017662,462.4344962,1200,1200,56140.62024,1041.692778,57182.31302,1200,3069.080868,35,1.228512026,kernel,112260.0086,55820.28437,55793.34776,24,56466.65883,55792.70937,2978.090913,1200,10800,81.77586755,highs+presolve
2025-06-06,72777.95509,0,0,0,41922.95969,1200,1200,57140.25214,0,57140.25214,1200,1200,36,1.826765242,kernel,114128.088,56865.76249,56933.19019,21,57194.25204,56849.06487,1892.928629,1200,8464.083013,13.76805816,highs+presolve
2025-06-07,43775.95116,1386.421227,1123.001194,57.78938561,12443.80734,1200,1200,32816.77364,117.4138834,32934.18753,1200,1559.365746,37,1.006129886,kernel,66167.61409,33113.62154,33008.44944,9,33159.15402,33007.98854,10763.6315,1200,10792.88056,83.25420729,highs+presolve
2025-06-08,72686.77415,1382.724631,1120.006951,16.46360483,7255.596812,1200,1200,57095.9735,34.97970089,57130.9532,1200,1836.311156,38,1.601002461,kernel,113996.3859,56831.85802,56882.55297,23,57113.78745,56816.24841,1943.160184,1200,10778.60216,4.473688353,highs+presolve
2025-06-09,72097.35061,5214.990612,4224.142396,117.9184295,291.7080894,1200,1200,55516.87069,255.3596826,55772.23037,1200,3435.262802,39,1.456713088,kernel,110439.7241,54553.31231,54653.08061,24,55786.63969,54413.71035,4656.250367,1200,5439.035398,116.5464932,highs+presolve
2025-06-10,73486.82961,3733.127322,3023.83313,19.8526,1178.943783,1200,1200,57122.22643,42.1669224,57164.39335,1200,2688.600772,40,2.828209386,kernel,113541.4942,56272.95999,56415.77385,22,57040.75104,56221.96931,3087.733222,1200,4764.753,1.614257255,highs+presolve
2025-06-11,73641.04083,3310.594462,2681.581514,3226.707063,154.2886299,1200,1200,57482.63788,13430.27346,70912.91134,1200,2899.718668,41,3.936448329,kernel,114495.1865,56811.7156,57010.7622,21,57403.76301,56766.90107,2337.116852,1200,3835.054503,0.8037345709,highs+presolve
2025-06-12,78043.41195,3186.717294,2581.241008,0,4985.544227,1200,1200,59707.49909,0,59707.49909,1200,3117.570643,42,4.513815731,kernel,117721.3909,57539.59472,58013.88345,20,59692.07501,57438.67691,4858.299268,1200,10800,0,highs+presolve
2025-06-13,62658.80362,125.4758951,101.635475,0,34289.6495,1200,1200,42478.18264,0,42478.18264,1200,1259.398326,43,2.412363223,kernel,91736.84116,45997.61626,43959.65165,37,47753.76217,43254.31994,9289.958982,1200,10799.48731,1721.641945,highs+presolve
2025-06-14,45664.18463,534.8099295,433.1960429,44.77388333,19414.00187,1200,1200,34051.27894,95.0997282,34146.37867,1200,1463.685001,44,2.552994169,kernel,79708.53618,40402.10822,38255.57597,62,41447.33244,37940.73643,9909.749601,1200,10799.59166,1847.207679,highs+presolve
2025-06-15,77870.01046,1920.675578,1555.747219,0,6878.107771,1200,1200,59581.23161,0,59581.23161,1200,2079.056053,45,6.43855464,kernel,117432.3667,57382.95685,57851.12663,25,59492.18841,57273.45991,4813.910007,1200,6291.712298,0,highs+presolve
2025-06-16,77832.07478,3012.933459,2440.476101,0,4565.564609,1200,1200,59602.95334,0,59602.95334,1200,2422.638562,46,7.241010064,kernel,117453.0554,57415.83677,57850.09374,28,59465.59561,57306.03347,4799.079313,1200,6277.478172,0,highs+presolve
2025-06-17,77751.76986,4224.74458,3422.04311,0,2312.05717,1200,1200,59672.4556,0,59672.4556,1200,3939.858764,47,8.390494756,kernel,117665.2979,57604.89655,57992.83435,28,59476.7976,57498.80388,4577.321082,1200,6023.45653,0,highs+presolve
2025-06-18,77794.63497,1251.475299,1013.694992,0,6628.46376,1200,1200,59831.14208,0,59831.14208,1200,1520.651689,48,8.961668654,kernel,118111.7506,57894.01536,58280.60095,28,59590.5308,57781.52063,4206.97245,1200,5761.7386,0,highs+presolve
2025-06-19,77550.71726,1633.825652,1323.398778,0,8980.786186,1200,1200,59594.69111,0,59594.69111,1200,1735.661652,49,10.29057588,kernel,117687.5678,57659.78979,58054.65045,27,59390.87445,57527.95886,4244.839226,1200,5991.598096,17.86672795,highs+presolve
2025-06-20,46591.11874,159.7862571,129.4268682,0,24160.1785,1200,1200,34402.32598,0,34402.32598,1200,1272.509995,50,4.59040168,kernel,80538.33967,40888.39363,38538.56567,62,41978.23862,38161.0622,9821.266586,1200,10799.66269,1918.277197,highs+presolve
2025-06-21,44845.40667,477.9805246,387.1642249,0,25419.84997,1200,1200,33289.07584,0,33289.07584,1200,1287.315323,51,6.289809214,kernel,77069.70002,39062.91428,37018.28808,61,40051.14562,36671.03367,9746.884336,1200,10799.6929,1702.225355,highs+presolve
2025-06-22,77741.25273,1510.005422,1223.104391,0,9997.010602,1200,1200,59186.67779,0,59186.67779,1200,2080.824135,52,15.81461102,kernel,116401.9822,56717.24291,57215.29504,32,58920.98081,56537.69851,5082.317517,1200,7054.586728,0,highs+presolve
