date,pool_size,converged,converged_round,max_adjacent_difference_yuan,mean_adjacent_difference_yuan,min_adjacent_difference_yuan,max_slope_positive_violation,max_slope_monotone_violation_interior,boundary_slope_jump,canonical_tangent_count,effective_tangent_count,value_at_s_min_yuan,value_at_s_max_yuan,round,n_points,grid_step,new_effective_tangents,envelope_increase_yuan,max_envelope_deficit_yuan
2025-02-19,42,True,4,142.3003318,81.05168292,5.54572349,5.810502761e-07,0,0.01872821366,31,31,62464.41597,59870.76212,3,33,300,14,7.942321431,0
2025-02-19,42,True,4,71.15016592,40.52584146,2.759042422,5.810502761e-07,0,0.01848303911,52,52,62464.41597,59870.76212,4,65,150,21,2.550930905,7.275957614e-12
2025-02-20,43,True,4,1013.651506,525.5659971,43.6746326,3.594624368e-07,0,0.03872915172,5,5,61785.84446,59683.58047,0,5,2400,-1,-1,0
2025-02-20,43,True,4,553.6624264,262.7829985,14.72423391,3.594624368e-07,0,0.01298330049,9,9,61785.84446,59683.58047,1,9,1200,4,46.48641694,0
2025-02-20,43,True,4,283.0235451,131.3914993,7.207581817,3.594624368e-07,0,0.01228880551,17,17,61785.84446,59683.58047,2,17,600,8,15.36799608,0
2025-02-20,43,True,4,141.523243,65.69574963,3.559680299,3.594624368e-07,0,0.01199993852,32,32,61785.84446,59683.58047,3,33,300,15,3.092503289,0
2025-02-20,43,True,4,70.77307722,32.84787482,1.761800977,3.594624368e-07,0,0.0119415469,61,61,61785.84446,59683.58047,4,65,150,29,1.443753785,0
2025-02-21,44,True,4,704.1495391,372.8128031,233.9114302,4.716450469e-07,0,0.1006112767,5,5,35472.2022,33980.95098,0,5,2400,-1,-1,0
2025-02-21,44,True,4,481.7100139,186.4064016,114.9946085,4.716450469e-07,0,0.09728653157,9,9,35472.2022,33980.95098,1,9,1200,4,59.409952,0
2025-02-21,44,True,4,262.351057,93.20320078,57.19062968,4.716450469e-07,0,0.09580954432,17,17,35472.2022,33980.95098,2,17,600,8,31.28978019,0
2025-02-21,44,True,4,138.5843076,46.60160039,28.52831078,4.716450469e-07,0,0.09540358585,33,33,35472.2022,33980.95098,3,33,300,16,6.403286053,0
2025-02-21,44,True,4,70.23107092,23.30080019,14.23665186,4.716450469e-07,0,0.09520567261,63,63,35472.2022,33980.95098,4,65,150,30,4.541087179,0
2025-02-22,45,True,4,632.6832433,320.0841992,192.8589205,3.755508132e-07,0,0.08322360638,5,5,34455.93952,33175.60272,0,5,2400,-1,-1,0
2025-02-22,45,True,4,445.6854988,160.0420996,94.75264084,3.755508132e-07,0,0.08027732404,9,9,34455.93952,33175.60272,1,9,1200,4,68.27510018,0
2025-02-22,45,True,4,260.3967701,80.02104979,47.09625816,3.755508132e-07,0,0.07894143167,17,17,34455.93952,33175.60272,2,17,600,8,30.44493924,0
2025-02-22,45,True,4,136.7871298,40.0105249,23.49074909,3.755508132e-07,0,0.0784344388,33,33,34455.93952,33175.60272,3,33,300,16,13.52824096,0
2025-02-22,45,True,4,70.69777724,20.00526245,11.73720204,3.755508132e-07,0,0.07833198032,64,64,34455.93952,33175.60272,4,65,150,31,4.291348818,7.275957614e-12
2025-02-23,46,True,4,1046.541115,598.3182313,75.59507905,3.191653568e-07,0,0.05616959281,5,5,61893.14319,59499.87026,0,5,2400,-1,-1,0
2025-02-23,46,True,4,557.9436134,299.1591157,25.28151107,3.191653568e-07,0,0.02225816989,9,9,61893.14319,59499.87026,1,9,1200,4,48.00442444,0
2025-02-23,46,True,4,283.0356121,149.5795578,12.35510747,3.191653568e-07,0,0.02091175789,16,16,61893.14319,59499.87026,2,17,600,7,30.36102623,7.275957614e-12
2025-02-23,46,True,4,141.5352854,74.78977892,6.117769215,3.191653568e-07,0,0.02067100583,31,31,61893.14319,59499.87026,3,33,300,15,5.245224178,7.275957614e-12
2025-02-23,46,True,4,70.78511999,37.39488946,3.047354392,3.191653568e-07,0,0.0203979812,58,58,61893.14319,59499.87026,4,65,150,27,1.998504077,1.455191523e-11
2025-02-24,47,True,4,1044.146303,578.9130709,83.16795916,5.903722521e-07,0,0.09423901267,5,5,61529.82044,59214.16816,0,5,2400,-1,-1,0
2025-02-24,47,True,4,562.6088623,289.4565355,23.10393904,5.903722521e-07,0,0.02125520876,9,9,61529.82044,59214.16816,1,9,1200,4,49.99551937,0
2025-02-24,47,True,4,283.0626541,144.7282677,11.17289309,5.903722521e-07,0,0.01907103098,17,17,61529.82044,59214.16816,2,17,600,8,20.78349171,0
2025-02-24,47,True,4,141.5623239,72.36413387,5.533347905,5.903722521e-07,0,0.01855841288,31,31,61529.82044,59214.16816,3,33,300,14,3.04484315,7.275957614e-12
2025-02-24,47,True,4,70.80016533,36.18206693,2.755265834,5.903722521e-07,0,0.01844597078,59,59,61529.82044,59214.16816,4,65,150,28,2.257759039,7.275957614e-12
