date,history_date,kernel_weight,equal_weight,adopted_weight
2025-01-29,2025-01-14,0.037730513922404424,0.050000000000000003,0.037730513922404424
2025-01-29,2025-01-15,0.094836383275591588,0.050000000000000003,0.094836383275591588
2025-01-29,2025-01-16,0.094741090693484395,0.050000000000000003,0.094741090693484395
2025-01-29,2025-01-17,0.094780255271201527,0.050000000000000003,0.094780255271201527
2025-01-29,2025-01-18,0.036991819565779072,0.050000000000000003,0.036991819565779072
2025-01-29,2025-01-19,0.0018525747865739508,0.050000000000000003,0.0018525747865739508
2025-01-29,2025-01-20,0.0017576096156884846,0.050000000000000003,0.0017576096156884846
2025-01-29,2025-01-21,0.035943846299921485,0.050000000000000003,0.035943846299921485
2025-01-29,2025-01-22,0.095038582433993005,0.050000000000000003,0.095038582433993005
2025-01-29,2025-01-23,0.095028258760017942,0.050000000000000003,0.095028258760017942
2025-01-30,2025-01-04,0.04176679353257344,0.050000000000000003,0.04176679353257344
2025-01-30,2025-01-05,0.0024826763070456026,0.050000000000000003,0.0024826763070456026
2025-01-30,2025-01-06,0.0024862504844338261,0.050000000000000003,0.0024862504844338261
2025-01-30,2025-01-07,0.041044954801420119,0.050000000000000003,0.041044954801420119
2025-01-30,2025-01-08,0.093522829035379715,0.050000000000000003,0.093522829035379715
2025-01-30,2025-01-09,0.093825900529873024,0.050000000000000003,0.093825900529873024
2025-01-30,2025-01-10,0.093759611304995591,0.050000000000000003,0.093759611304995591
2025-01-30,2025-01-11,0.039168877983662261,0.050000000000000003,0.039168877983662261
2025-01-30,2025-01-12,0.002228682943934854,0.050000000000000003,0.002228682943934854
2025-01-30,2025-01-13,0.0021262805789190788,0.050000000000000003,0.0021262805789190788
2025-01-30,2025-01-14,0.038942803330278906,0.050000000000000003,0.038942803330278906
2025-01-30,2025-01-15,0.093782534271497617,0.050000000000000003,0.093782534271497617
2025-01-30,2025-01-16,0.093649129227262942,0.050000000000000003,0.093649129227262942
2025-01-30,2025-01-17,0.093703054197868882,0.050000000000000003,0.093703054197868882
2025-01-30,2025-01-18,0.038196975886096635,0.050000000000000003,0.038196975886096635
2025-01-30,2025-01-19,0.0019970610881993021,0.050000000000000003,0.0019970610881993021
2025-01-30,2025-01-20,0.0018957535386284348,0.050000000000000003,0.0018957535386284348
2025-01-30,2025-01-21,0.037138020783787355,0.050000000000000003,0.037138020783787355
2025-01-30,2025-01-22,0.094166773064607204,0.050000000000000003,0.094166773064607204
2025-01-30,2025-01-23,0.094115037109535199,0.050000000000000003,0.094115037109535199
2025-01-31,2025-01-04,0.04129064684758952,0.050000000000000003,0.04129064684758952
2025-01-31,2025-01-05,0.0024144988323334992,0.050000000000000003,0.0024144988323334992
2025-01-31,2025-01-06,0.0024179897257081643,0.050000000000000003,0.0024179897257081643
2025-01-31,2025-01-07,0.040570679608778387,0.050000000000000003,0.040570679608778387
2025-01-31,2025-01-08,0.093956661757609,0.050000000000000003,0.093956661757609
2025-01-31,2025-01-09,0.094227874844013695,0.050000000000000003,0.094227874844013695
2025-01-31,2025-01-10,0.094169453880204076,0.050000000000000003,0.094169453880204076
2025-01-31,2025-01-11,0.038700311639283877,0.050000000000000003,0.038700311639283877
2025-01-31,2025-01-12,0.0021664882654997891,0.050000000000000003,0.0021664882654997891
2025-01-31,2025-01-13,0.0020665354484563957,0.050000000000000003,0.0020665354484563957
2025-01-31,2025-01-14,0.038475007236557168,0.050000000000000003,0.038475007236557168
2025-01-31,2025-01-15,0.094189729285281076,0.050000000000000003,0.094189729285281076
2025-01-31,2025-01-16,0.094070834271369891,0.050000000000000003,0.094070834271369891
2025-01-31,2025-01-17,0.094119140322570988,0.050000000000000003,0.094119140322570988
2025-01-31,2025-01-18,0.037731846424265608,0.050000000000000003,0.037731846424265608
2025-01-31,2025-01-19,0.0019404396456978792,0.050000000000000003,0.0019404396456978792
2025-01-31,2025-01-20,0.0018416077047455877,0.050000000000000003,0.0018416077047455877
2025-01-31,2025-01-21,0.036677008746299464,0.050000000000000003,0.036677008746299464
2025-01-31,2025-01-22,0.094504595115013065,0.050000000000000003,0.094504595115013065
2025-01-31,2025-01-23,0.094468650398722862,0.050000000000000003,0.094468650398722862
