date,question,configuration,normal_plus_adjust_yuan,emergency_kwh,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh,absolute_adjustment_kwh
2025-11-30,4-2,B,57782.482959,637.943596,19260.755318,18941.697222000003,8819.373671,5107.72321,0.0
2025-12-01,4-2,B,66288.252512,3887.18895,21953.239337,17919.963461,5107.72321,4954.568103,0.0
2025-12-02,4-2,B,71646.105517,3942.5007060000003,23022.463231,17348.195459000002,4954.568103,6399.012279,0.0
2025-12-03,4-2,B,63209.109967,8016.647206999999,16843.607625,14007.566362,6399.012279,5994.296516,0.0
2025-12-04,4-2,B,67965.333317,4006.958402,19460.847741,16079.206030000001,5994.296516,5643.275008,0.0
2025-12-05,4-2,B,21432.915586,3056.714524,24167.056987,16613.474482,5643.275008,8934.210203,0.0
2025-12-06,4-2,B,21021.386464,3164.193082,21070.296623000002,16869.251578,8934.210203,9153.8643,0.0
2025-12-07,4-2,B,70123.87148,1957.2996120000003,18069.046754,17777.252942,9153.8643,5663.503111,0.0
2025-12-08,4-2,B,75896.269448,0.0,23317.175113999998,20016.580805,5663.503111,4408.315374,0.0
2025-12-09,4-2,B,74016.382922,0.0,22364.499292,19157.935832,4408.315374,3249.769368,0.0
2025-12-10,4-2,B,73147.536688,238.066437,28353.275103,18829.381556,3249.769368,7846.181898,0.0
2025-12-11,4-2,B,73127.154034,0.0,25608.642913999996,19815.639220999998,7846.181898,8876.583608,0.0
2025-12-12,4-2,B,24645.964184,0.0,24486.226606999997,18714.914998,8876.583608,10119.837557,0.0
2025-12-13,4-2,B,22866.971879,482.54943099999997,20835.537055,17076.710768,10119.837557,9897.697831,0.0
2025-12-14,4-2,B,68249.725517,1352.431856,20229.192472,20154.369176,9897.697831,5710.227525,0.0
2025-12-15,4-2,B,73102.006965,866.016252,21929.386351,17035.438348000003,5710.227525,6518.41041,0.0
2025-12-16,4-2,B,77355.652817,0.0,27060.939535999998,19219.735456,6518.41041,9517.994376,0.0
2025-12-17,4-2,B,72019.515047,0.0,19265.628742,18785.304579,9517.994376,5984.499602,0.0
2025-12-18,4-2,B,70509.599466,0.0,24234.002988,18226.932211,5984.499602,7542.95539,0.0
2025-12-19,4-2,B,22539.363861,0.0,24094.354559,17592.914135000003,7542.95539,9680.192122,0.0
2025-12-20,4-2,B,25216.987677,0.0,21606.502109,17264.784748000002,9680.192122,9942.949855,0.0
2025-12-21,4-2,B,72114.878761,0.0,20665.911641,19898.43275,9942.949855,6432.900609,0.0
2025-12-22,4-2,B,72838.88644,0.0,20939.64595,17439.961656,6432.900609,5900.84679,0.0
2025-12-23,4-2,B,73787.186307,0.0,23626.101037,18397.98651,5900.84679,6722.13049,0.0
2025-12-24,4-2,B,75257.381693,0.0,22345.892198,17623.97961,6722.13049,7251.233902,0.0
2025-12-25,4-2,B,70434.262392,0.0,23783.636720000002,19701.307819999998,7251.233902,6766.164928,0.0
2025-12-26,4-2,B,23118.713952,252.418315,25388.772906000002,17694.291902999998,6766.164928,9955.736207,0.0
2025-12-27,4-2,B,21595.69693,183.085065,21671.900987,17639.685172,9955.736207,9860.796904,0.0
2025-12-28,4-2,B,68482.434491,0.0,19195.159637,18566.786716,9860.796904,6506.67756,0.0
2025-12-29,4-2,B,71463.566693,0.0,22463.070730000003,17719.724575,6506.67756,7034.858357,0.0
2025-12-30,4-2,B,71219.016178,0.0,23539.508756,19558.225223,7034.858357,6489.054878,0.0
2025-12-31,4-2,B,74529.96896,0.0,24727.096029000004,19123.151897,6489.054878,7495.494751,0.0
2025-02-01,4-3,B,19204.64222,1098.495915,19857.611703,16488.826819,7600.773474,7151.705318,11775.100839
2025-02-02,4-3,B,61888.695499,547.813714,22610.078777999996,19370.978377,7151.705318,5977.46691,5302.0528540000005
2025-02-03,4-3,B,67612.005436,84.129942,20913.731645,18697.970654,5977.46691,4024.302443,11982.538688
2025-02-04,4-3,B,67262.668911,0.0,25224.358906,19341.443729,4024.302443,5235.732426,8718.485736
2025-02-05,4-3,B,63631.667656,175.076839,25636.172917000004,21042.911184,5235.732426,4927.275627,2708.6139220000005
2025-02-06,4-3,B,66987.863495,676.107488,25895.377461,20474.596281000002,4927.275627,5483.563917,11941.71311
2025-02-07,4-3,B,20049.989789,337.184398,26460.053134,17762.391982,5483.563917,9561.620646,3352.1007529999997
2025-02-08,4-3,B,17278.399531,0.0,24293.144309999996,19849.842381000002,9561.620646,9370.070102,2136.924863
2025-02-09,4-3,B,59871.671446,1326.9611209999998,18817.692954,19285.903524,9370.070102,4877.212067,5902.0157420000005
2025-02-10,4-3,B,60454.682339,933.097935,21872.986532000003,19443.064565000004,4877.212067,2959.494873,12207.901945
2025-02-11,4-3,B,58965.389823,192.72271999999998,24948.646144,19655.335661,2959.494873,3574.014558,3791.782684
2025-02-12,4-3,B,58775.599624,104.811226,26226.894313999997,19946.647675,3574.014558,5015.277579,5162.941874
2025-02-13,4-3,B,55705.657983,114.623402,20773.877373000003,17592.354735,5015.277579,4164.706399,5158.870364
2025-02-14,4-3,B,16284.081272,2156.620742,24364.247267,17496.32949,4164.706399,6652.162839,5547.648774000001
2025-02-15,4-3,B,16615.143297,485.125848,23703.535893,19137.666266,6652.162839,6721.271516,5362.567429000001
2025-02-16,4-3,B,57938.095783,535.946293,21008.226796000003,18555.002526,6721.271516,5012.006159,8213.403939
2025-02-17,4-3,B,57120.007483,642.514624,22122.346381000003,18040.317812999998,5012.006159,4877.320332,7569.679023
2025-02-18,4-3,B,53485.030981,629.703563,21728.210221,18811.477131,4877.320332,3531.068274,5908.606002
2025-02-19,4-3,B,54329.410843,1037.848078,22319.731091,17863.948565000002,3531.068274,3769.994516,4509.769313000001
2025-02-20,4-3,B,54884.497928,117.90910500000001,21769.169559,17638.263013,3769.994516,3764.177104,1795.9686120000001
2025-02-21,4-3,B,19277.469517,0.0,24734.506912999997,16785.236956,3764.177104,7374.970041,6291.322094
2025-02-22,4-3,B,17765.709379,0.0,23460.520958,16824.252826999997,7374.970041,9795.82465,1981.3617569999997
2025-02-23,4-3,B,55280.976873,1190.402123,17765.448098,20444.115938,9795.82465,3069.043561,9066.998063
2025-02-24,4-3,B,51264.361534,1486.012946,21916.697592999997,16880.171029,3069.043561,4038.325807,3763.3958669999997
2025-02-25,4-3,B,52531.710137,690.988306,22645.094614,18043.513621,4038.325807,4370.562492,4114.845606000001
2025-02-26,4-3,B,54900.767487,0.0,25939.903441,19585.797440000002,4370.562492,5954.478432,6964.2883200000015
2025-02-27,4-3,B,49384.787891,1772.529127,22177.158845,20227.602715,5954.478432,3438.807266,10258.005433999999
2025-02-28,4-3,B,15908.268735,120.59935399999999,24569.817769,17268.154228,3438.807266,6364.805225,4315.201112999999
2025-03-01,4-3,B,16221.767698,2134.132617,21647.524567,17650.872291,6364.805225,6235.497013,15104.047634
2025-03-02,4-3,B,55838.215221,1501.98299,21921.937724,18962.845894000002,6235.497013,4895.412193,9873.826754
2025-03-03,4-3,B,54781.617418,1332.719111,22460.347445,19338.115372,4895.412193,3622.930036,11966.815671
2025-03-04,4-3,B,49727.043309,486.845006,23004.95928,17875.6453,3622.930036,4465.565278,1859.0819170000004
2025-03-05,4-3,B,51046.004791,528.673151,24475.178103000002,17862.072172,4465.565278,6646.478713,6302.147959
2025-03-06,4-3,B,48804.66347,0.0,27370.492695,19887.25013,6646.478713,9182.97755,3424.2584450000004
2025-03-07,4-3,B,13766.12093,1035.767697,22214.680537,18783.004286,9182.97755,8306.185272,4800.711813000001
2025-03-08,4-3,B,14343.241614,1017.174538,22735.160578000003,18254.034430999996,8306.185272,8485.569316,4106.8776530000005
2025-03-09,4-3,B,48904.680827,500.060629,26332.380920000003,21178.628783,8485.569316,8652.902384,6680.588625
2025-03-10,4-3,B,53398.587713,0.0,22803.780378,19307.373177,8652.902384,7723.66786,8796.182051
2025-03-11,4-3,B,48226.505685,0.0,21003.899309,16298.616053,7723.66786,8517.603847,7896.798794
2025-03-12,4-3,B,44568.480343,0.0,21495.109619,18987.049387000003,8517.603847,6766.480965,773.5269289999997
2025-03-13,4-3,B,51377.812141,0.0,23044.534261,18406.144473,6766.480965,7055.290161,5741.13275
2025-03-14,4-3,B,13269.386057,239.624381,20790.606114,16577.35928,7055.290161,7347.547575,4529.311503000001
2025-03-15,4-3,B,15310.034216,842.811867,23139.844186000002,19123.189566,7347.547575,6925.418936,6567.680149
2025-03-16,4-3,B,49059.183702,1.64,20664.09883,17018.774492,6925.418936,6613.358449,6623.840027
2025-03-17,4-3,B,42089.027183,0.0,18942.066998,17106.583805000002,6613.358449,4653.903409,4073.2322399999994
2025-03-18,4-3,B,45373.191843,1631.3086480000002,21366.177603,16394.606445999998,4653.903409,5667.233867,6599.966957000001
2025-03-19,4-3,B,44738.463442,0.0,22398.367998,17886.407634000003,5667.233867,5951.978803,7850.435745999999
2025-03-20,4-3,B,44693.642943,567.360561,22920.282286,18947.712089,5951.978803,5527.219428,2026.9794170000002
2025-03-21,4-3,B,13962.568989,298.492625,27231.265281,18114.636973,5527.219428,9907.983767,505.04371499999985
2025-03-22,4-3,B,13551.062554,0.0,24329.235595,19759.15287,9907.983767,9849.681503,1053.921226
2025-03-23,4-3,B,42934.650639,0.0,17445.369485,17091.805265,9849.681503,6559.619299,1588.6106899999997
2025-03-24,4-3,B,43183.045818,0.0,21896.030173,18416.908182,6559.619299,5802.81514,3493.7095099999997
2025-03-25,4-3,B,44352.529213,632.721821,23188.826208000002,19393.018333,5802.81514,5124.96058,7217.294214000001
2025-03-26,4-3,B,42647.383692,106.77237300000002,23214.066823,17752.495336,5124.96058,6292.625902,4847.434417
2025-03-27,4-3,B,43043.16558,11.270872,21835.253752999997,16865.703015,6292.625902,7204.684263,2530.4242900000004
2025-03-28,4-3,B,13137.848044,198.82623,24438.258503999998,18795.553579,7204.684263,8315.168494,2948.137942
2025-03-29,4-3,B,11712.300225,708.615532,23493.668858,19041.131412,8315.168494,8302.657786,1900.5729330000004
2025-03-30,4-3,B,39915.875774,0.0,20393.646835,17193.869361,8302.657786,7552.640648,1513.5700710000003
2025-03-31,4-3,B,45269.478184,279.451947,19553.023192,17870.266387,7552.640648,5294.509979,11954.034999999998
2025-04-01,4-3,B,47327.122327,0.0,22270.780893,17648.904466000004,5294.509979,5728.318932,5432.450814
2025-04-02,4-3,B,46041.401047,259.550455,22371.593662,16560.804121,5728.318932,7461.859761,5664.593069
2025-04-03,4-3,B,40145.962638,647.5557150000001,17589.351006999997,16301.959773,7461.859761,5178.98703,2015.8263250000002
2025-04-04,4-3,B,12840.400917,7.23671,26014.275511,16644.843519000002,5178.98703,10097.564414,375.982762
2025-04-05,4-3,B,12057.486447,58.668284,21247.426088,18730.994797,10097.564414,8408.031452,3283.980744
2025-04-06,4-3,B,38153.576784,240.596482,20581.843652,17875.632892999998,8408.031452,7069.876414,1664.069608
2025-04-07,4-3,B,41094.069032,0.0,15248.384903,14819.973581999999,7069.876414,4326.785513,7168.010695
2025-04-08,4-3,B,40101.546609,0.0,23119.640130000003,18560.515487,4326.785513,4511.666645,2554.9113050000005
2025-04-09,4-3,B,45742.794426,91.474661,23975.687123,17175.791201,4511.666645,7005.572609,5010.051052000001
2025-04-10,4-3,B,39530.944991,2382.003363,19149.723817,16779.547023,7005.572609,5596.382907,7577.832109000001
