date,mode,pool_size,k_eff
2025-12-02,kernel,55,28.0779397
2025-12-03,kernel,56,28.08317903
2025-12-04,kernel,57,28.10830556
2025-12-05,kernel,58,11.22026652
2025-12-06,kernel,59,11.10926825
2025-12-07,kernel,60,26.36229647
2025-12-08,kernel,61,24.51107274
2025-12-09,kernel,62,24.57987998
2025-12-10,kernel,63,26.28607924
2025-12-11,kernel,64,26.53126749
2025-12-12,kernel,65,11.18647262
2025-12-13,kernel,66,11.73725271
2025-12-14,kernel,67,26.54998388
2025-12-15,kernel,68,26.59281773
2025-12-16,kernel,69,27.33572511
2025-12-17,kernel,70,28.09000967
2025-12-18,kernel,71,29.52139183
2025-12-19,kernel,72,12.44821669
2025-12-20,kernel,73,13.50494403
2025-12-21,kernel,74,31.10988123
2025-12-22,kernel,75,31.28540404
2025-12-23,kernel,76,32.27937414
2025-12-24,kernel,77,33.90272241
2025-12-25,kernel,78,35.29067156
2025-12-26,kernel,79,14.54910886
2025-12-27,kernel,80,15.28219864
2025-12-28,kernel,81,35.00980065
2025-12-29,kernel,82,36.42919926
2025-12-30,kernel,83,38.11506617
2025-12-31,kernel,84,40.07633443
