date,pool_size,oldest_gap_days,month_span,same_weekday_in_pool,lag7_rank,lag7_rank_share,lag7_daily_net_gap_kwh
2025-09-23,53,53,1,True,12,0.2264150943,2624.8456
2025-09-24,54,54,1,True,5,0.09259259259,1103.1067
2025-09-25,55,55,1,True,8,0.1454545455,1379.397783
2025-09-26,56,56,1,True,5,0.08928571429,1592.891183
2025-09-27,57,57,1,True,8,0.1403508772,2155.868517
2025-09-28,58,58,1,True,29,0.5,5200.141683
2025-09-29,59,59,1,True,12,0.2033898305,2145.871717
2025-09-30,60,60,1,True,21,0.35,3305.559183
2025-10-01,30,30,0,True,17,0.5666666667,11401.70357
2025-10-02,31,31,1,True,16,0.5161290323,8604.665783
2025-10-03,32,32,1,True,7,0.21875,9877.0898
2025-10-04,33,33,1,True,5,0.1515151515,4705.319817
2025-10-05,34,34,1,True,23,0.6764705882,8751.6681
2025-10-06,35,35,1,True,21,0.6,5026.78235
2025-10-07,36,36,1,True,25,0.6944444444,7650.611767
2025-10-08,37,37,1,True,25,0.6756756757,6816.974133
2025-10-09,38,38,1,True,17,0.4473684211,4029.198567
2025-10-10,39,39,1,True,2,0.05128205128,1526.457217
2025-10-11,40,40,1,True,1,0.025,1010.33115
2025-10-12,41,41,1,True,19,0.4634146341,3778.994917
2025-10-13,42,42,1,True,2,0.04761904762,705.71395
2025-10-14,43,43,1,True,15,0.3488372093,3002.266283
2025-10-15,44,44,1,True,20,0.4545454545,5441.527983
2025-10-16,45,45,1,True,22,0.4888888889,7206.491267
2025-10-17,46,46,1,True,8,0.1739130435,6660.5884
2025-10-18,47,47,1,True,6,0.1276595745,1970.279683
2025-10-19,48,48,1,True,17,0.3541666667,5370.76655
2025-10-20,49,49,1,True,22,0.4489795918,7413.387067
2025-10-21,50,50,1,True,11,0.22,5688.752067
2025-10-22,51,51,1,True,9,0.1764705882,3634.87305
2025-10-23,52,52,1,True,2,0.03846153846,413.0240833
2025-10-24,53,53,1,True,5,0.09433962264,2415.8514
2025-10-25,54,54,1,True,5,0.09259259259,3321.839467
2025-10-26,55,55,1,True,2,0.03636363636,658.5894833
2025-10-27,56,56,1,True,6,0.1071428571,888.2007
2025-10-28,57,57,1,True,2,0.0350877193,490.15965
2025-10-29,58,58,1,True,3,0.05172413793,3757.3601
2025-10-30,59,59,1,True,9,0.1525423729,1408.320617
2025-10-31,60,60,1,True,2,0.03333333333,5484.24135
2025-11-01,31,31,0,True,2,0.06451612903,3145.6057
2025-11-02,32,32,1,True,6,0.1875,4252.071917
2025-11-03,33,33,1,True,10,0.303030303,5952.348617
2025-11-04,34,34,1,True,3,0.08823529412,1607.650333
2025-11-05,35,35,1,True,2,0.05714285714,365.7632667
2025-11-06,36,36,1,True,9,0.25,6581.7669
2025-11-07,37,37,1,True,1,0.02702702703,585.8302833
2025-11-08,38,38,1,True,3,0.07894736842,1247.168667
2025-11-09,39,39,1,True,5,0.1282051282,2550.43325
2025-11-10,40,40,1,True,4,0.1,4353.512817
2025-11-11,41,41,1,True,8,0.1951219512,3978.947633
2025-11-12,42,42,1,True,4,0.09523809524,1277.967683
2025-11-13,43,43,1,True,2,0.04651162791,1026.286767
2025-11-14,44,44,1,True,3,0.06818181818,4279.993517
2025-11-15,45,45,1,True,3,0.06666666667,4420.679817
2025-11-16,46,46,1,True,5,0.1086956522,3087.7272
2025-11-17,47,47,1,True,3,0.06382978723,1162.688767
2025-11-18,48,48,1,True,5,0.1041666667,3331.532167
2025-11-19,49,49,1,True,9,0.1836734694,4412.32385
2025-11-20,50,50,1,True,6,0.12,2397.204717
2025-11-21,51,51,1,True,2,0.03921568627,1265.928767
2025-11-22,52,52,1,True,2,0.03846153846,2007.942567
2025-11-23,53,53,1,True,4,0.07547169811,797.5519
2025-11-24,54,54,1,True,7,0.1296296296,1466.189367
2025-11-25,55,55,1,True,3,0.05454545455,1278.108633
2025-11-26,56,56,1,True,2,0.03571428571,1389.355283
2025-11-27,57,57,1,True,6,0.1052631579,987.8167
2025-11-28,58,58,1,True,2,0.03448275862,2056.854483
2025-11-29,59,59,1,True,2,0.03389830508,4709.620617
2025-11-30,60,60,1,True,5,0.08333333333,5012.731833
2025-12-01,54,327,10,True,27,0.5,12136.98403
2025-12-02,55,328,11,True,21,0.3818181818,12469.14948
2025-12-03,56,329,11,True,21,0.375,10405.08168
2025-12-04,57,330,11,True,24,0.4210526316,10990.31602
2025-12-05,58,331,11,True,9,0.1551724138,10390.38913
2025-12-06,59,332,11,True,9,0.1525423729,8735.180717
2025-12-07,60,333,11,True,22,0.3666666667,7407.853133
2025-12-08,61,334,11,True,13,0.2131147541,1548.283383
2025-12-09,62,335,11,True,10,0.1612903226,1249.355683
2025-12-10,63,336,11,True,14,0.2222222222,1224.8699
2025-12-11,64,337,11,True,2,0.03125,809.95405
2025-12-12,65,338,11,True,6,0.09230769231,2402.7858
2025-12-13,66,339,11,True,2,0.0303030303,133.9025667
2025-12-14,67,340,11,True,13,0.1940298507,1126.04055
2025-12-15,68,341,11,True,15,0.2205882353,1622.34685
2025-12-16,69,342,11,True,19,0.2753623188,2029.637067
2025-12-17,70,343,11,True,3,0.04285714286,195.7714
2025-12-18,71,344,11,True,15,0.2112676056,1405.012267
2025-12-19,72,345,11,True,4,0.05555555556,806.0221833
2025-12-20,73,346,11,True,6,0.08219178082,942.1811333
2025-12-21,74,347,11,True,4,0.05405405405,259.0600667
2025-12-22,75,348,11,True,9,0.12,532.1308833
2025-12-23,76,349,11,True,23,0.3026315789,2159.9988
2025-12-24,77,350,11,True,5,0.06493506494,337.28775
2025-12-25,78,351,11,True,8,0.1025641026,446.1815667
2025-12-26,79,352,11,True,1,0.01265822785,99.23113333
2025-12-27,80,353,11,True,7,0.0875,482.4568167
2025-12-28,81,354,11,True,23,0.2839506173,2228.527117
2025-12-29,82,355,11,True,22,0.2682926829,1413.660817
2025-12-30,83,356,11,True,7,0.0843373494,1033.689933
2025-12-31,84,357,11,True,14,0.1666666667,791.8636167
