stage,feature,date,es_before,es_after,relative_improvement_pct
forward,net_lag_7d,2025-02-14,2890.212979,812.038191,71.90386325
forward,net_lag_7d,2025-02-15,2801.922775,759.4785522,72.89437957
forward,net_lag_7d,2025-02-16,699.4022287,602.8176438,13.80959067
forward,net_lag_7d,2025-02-17,827.9472915,836.0562832,-0.9794091653
forward,net_lag_7d,2025-02-18,740.1280711,702.6539841,5.06318953
forward,net_lag_7d,2025-02-19,729.6899026,681.7673063,6.567529042
forward,net_lag_7d,2025-02-20,773.389951,721.9695611,6.648701581
forward,net_lag_7d,2025-02-21,3100.823792,1001.663869,67.69684652
forward,net_lag_7d,2025-02-22,2738.233475,713.0645515,73.95895719
forward,net_lag_7d,2025-02-23,742.8173895,688.5724873,7.302589164
forward,net_lag_7d,2025-02-24,852.9341593,829.283823,2.772820859
forward,net_lag_7d,2025-02-25,992.9083513,1049.344794,-5.683952884
forward,net_lag_7d,2025-02-26,782.0037458,748.9307232,4.229266516
forward,net_lag_7d,2025-02-27,884.7481364,864.2627524,2.315391596
forward,net_lag_7d,2025-02-28,3124.197314,1042.888298,66.61900025
forward,net_lag_7d,2025-03-01,2456.317335,642.1825946,73.85587826
forward,net_lag_7d,2025-03-02,917.4516465,669.8950321,26.9830694
forward,net_lag_7d,2025-03-03,705.2608124,458.0388974,35.0539702
forward,net_lag_7d,2025-03-04,616.2129861,437.8470785,28.94549639
forward,net_lag_7d,2025-03-05,657.8552049,566.5993301,13.87172651
forward,net_lag_7d,2025-03-06,648.6578588,549.7013481,15.25557879
forward,net_lag_7d,2025-03-07,2779.784688,839.9919384,69.78212226
forward,net_lag_7d,2025-03-08,2800.755914,830.7611327,70.33796738
forward,net_lag_7d,2025-03-09,765.9367862,747.6522418,2.387213248
forward,net_lag_7d,2025-03-10,712.3196729,536.1282616,24.7348793
forward,net_lag_7d,2025-03-11,700.7953209,628.5688194,10.30636183
forward,net_lag_7d,2025-03-12,731.166822,691.1035656,5.479359177
forward,net_lag_7d,2025-03-13,768.3468303,624.6317217,18.70445779
forward,net_lag_7d,2025-03-14,3082.604451,1043.212175,66.15809159
forward,net_lag_7d,2025-03-15,2560.285281,688.4686561,73.10968972
